رقم الصنف,الوصف,عدد الباركودات,الباركودات
7112,حمص حب لزيزة 1 كيلو Lazeza,1,6253503961253
7115,ذرة فشار لزيزة 1 كيلو Lazeza,1,6253503961246
7118,سكر بني الكسيح 350 جرام,1,6253001065019
7119,سكر بني غامق بدري وهنية 1 كيلو,2,6253503974598 | 6253503974581
7123,,1,7290000518152
7127,سميد ابو الراغب 1 كيلو,1,9274444665151
7129,سميد قمح 1 كيلو تيرا,1,7290015007009
7131,طحين ابيض لوكس السلام 1 كيلو,2,2008253518813 | 2019125285887
7138,,1,7290000211374
7140,طحين حيفا حنطة 1 كيلو,1,9702240125536
7142,طحين طاحونة يافا 1 كيلو,1,7290005400001
7148,عدس حب صغير لزيزة 1 كيلو Lazeza,2,6253503961024 | 6253503961031
7151,عدس مجروش لزيزة 1 كيلو Lazeza,1,6253503961048
7152,فول نابت مسك الاوطان 500 جم,1,9900000062859
7155,فاصوليا بيضاء حب لزيزة 1 كيلو Lazeza,1,6253503961055
7159,فريكة ابو حميد 700 جرام,1,3154695461282
7160,فريكة الشيخ قاسم  700 جرام,1,6253503476009
7161,فريكة الكسيح 750 جرام خضراء,1,6253001065491
7162,,0,
7166,فريكة لزيزة 700 جرام Lazeza,2,6253503961444 | 6253503967071
7176,مفتول ابو حميد 1 كيلو,1,2005994043000
7179,مفتول الشام 900 جم,1,9990024
7180,,1,2059974706553
7181,,2,9658895181116 | 2002002002004
7182,,1,6253503478164
7184,مفتول بيونير 1 كيلو,1,8032942610186
7185,مفتول خير زمان ابو العوف 1 كيلو,1,5701612567480
7189,مفتول مغربي وسط 1 كيلو Couscous,1,8032942610193
7191,ملح الكسيح جبال الهمالايا 400 جرام,2,6253001065477 | 6253001065620
7195,شوفان ابو حميد 400 جرام,1,2005294446662
7203,سميد قمح 1 كيلو,1,7290002460084
7208,سكر الشيخ قاسم غامق 800 جرام,2,6253503472490 | 6253503472506
7209,,0,
7213,خليط كيك أصفر بيتي كروكر 432جم / Super,7,16000430549 | 16000410015 | 16000409897 | 16000409835 | 16000409811 | 16000409828 | 16000409941
7215,أرز مصري 1 كيلو  - السباع,6,5601228233819 | 6225000287211 | 8697686871080 | 6224007367025 | 6224001074004 | 6225000241688
